X	Y	INTENSITY	LAMBDA1	LAMBDA2	V1X	V1Y	V2X	V2Y	GRADX	GRADY
13.000000	122.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
27.000000	86.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
34.333333	65.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
34.666667	59.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
40.000000	69.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
33.666667	77.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
45.666667	78.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
39.666667	75.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
52.333333	76.000000	255.000000	1820700.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
45.333333	84.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
46.000000	66.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
33.000000	83.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
57.333333	67.333333	255.000000	10322697.062498	1446837.438974	0.995412	0.095678	0.095678	-0.995412	0.000000	0.000000
56.666667	62.000000	255.000000	8522903.604239	1425930.897233	0.992777	0.119978	0.119978	-0.992777	0.000000	0.000000
62.666667	66.000000	255.000000	30693704.941494	8906538.396549	0.996219	0.086881	0.086881	-0.996219	0.000000	0.000000
61.000000	69.000000	255.000000	24837700.872043	1497433.629429	0.999343	0.036241	0.036241	-0.999343	0.000000	0.000000
57.333333	78.666667	255.000000	14565600.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
61.000000	76.333333	255.000000	29131200.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
62.333333	79.000000	255.000000	41876100.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
63.666667	79.000000	255.000000	43696800.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
61.666667	72.333333	255.000000	30951900.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
57.333333	84.333333	255.000000	14565600.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
64.333333	73.000000	0.000000	36414000.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
52.333333	70.000000	255.000000	1820700.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
46.000000	60.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
62.333333	83.000000	255.000000	41876100.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
37.666667	93.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
38.666667	87.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
43.333333	97.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
35.000000	106.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
39.333333	115.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
33.666667	112.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
49.000000	105.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
47.666667	112.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
42.000000	103.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
25.000000	121.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
51.000000	93.666667	255.000000	1820700.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
31.000000	96.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
60.666667	94.000000	255.000000	23669100.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
52.000000	87.666667	255.000000	1820700.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
60.000000	104.000000	255.000000	21848400.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
55.333333	102.333333	255.000000	7282800.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
53.000000	116.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
58.333333	114.333333	255.000000	12744900.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
