X	Y	INTENSITY	LAMBDA1	LAMBDA2	V1X	V1Y	V2X	V2Y
51.3333	66.6667	9	3622.5	1611.3	0.0962087	0.995361	0.995361	-0.0962087
54	63.6667	5	3954.86	771.126	0.205909	0.978571	0.978571	-0.205909
54	66.6667	1	4345.01	1250.72	0.0889401	0.996037	0.996037	-0.0889401
46	64.3333	2	3576.58	1281.87	0.607298	0.794474	0.794474	-0.607298
58.3333	69.6667	11	8674.9	97.8159	0.153067	-0.988216	-0.988216	-0.153067
52	57	6	3132.4	285.376	0.544792	0.838571	0.838571	-0.544792
49.6667	54.3333	7	2954.44	1501.51	0.229414	0.973329	0.973329	-0.229414
43.3333	63.3333	3	5294.63	1953.56	0.15924	0.98724	0.98724	-0.15924
58.3333	50.3333	0	1745.94	1007.81	0.297243	0.954802	0.954802	-0.297243
43	49.6667	2	6819.22	2822.18	0.0121419	0.999926	0.999926	-0.0121419
43.3333	38.6667	2	774.1	438.299	0.0203813	-0.999792	-0.999792	-0.0203813
29.3333	67.6667	5	3648.26	1216.49	0.542532	0.840035	0.840035	-0.542532
59.3333	65	1	3775.53	559.238	0.0702494	0.997529	0.997529	-0.0702494
29	37.6667	3	5357.72	1314.26	0.116836	-0.993151	-0.993151	-0.116836
48	66.3333	3	2702.26	1016.94	0.0640242	-0.997948	-0.997948	-0.0640242
4	74	0	0.356027	0.0429738	0.812428	0.583062	0.583062	-0.812428
2	70	0	0.001	0	0.707107	-0.707107	-0.707107	-0.707107
4	80	0	0.356	0.042	0.812131	0.583476	0.583476	-0.812131
2	76	0	0.356	0.042	0.812131	0.583476	0.583476	-0.812131
9	78.6667	0	7492.68	5112.47	0.994958	-0.100293	-0.100293	-0.994958
7.33333	81	0	4457.89	780.654	0.786951	0.617015	0.617015	-0.786951
7.66667	75.6667	0	5833.25	1533.76	0.818057	-0.575137	-0.575137	-0.818057
13	72.6667	7	7519.12	740.06	0.434036	0.900896	0.900896	-0.434036
14.6667	71	6	9141.82	1333.17	0.183177	0.98308	0.98308	-0.183177
13.6667	78	10	9437.69	5567.08	0.0536927	-0.998558	-0.998558	-0.0536927
11.6667	74	5	6215.98	5593.76	0.895398	-0.445266	-0.445266	-0.895398
13.3333	75.6667	18	10793.6	5786.2	0.251775	0.967786	0.967786	-0.251775
11.6667	79.6667	6	7810.53	6057.42	0.937222	-0.348733	-0.348733	-0.937222
15.6667	83	11	2463.25	1251.54	0.0201267	0.999797	0.999797	-0.0201267
9.33333	73.3333	0	6130.2	2841.31	0.888625	-0.458635	-0.458635	-0.888625
7.66667	69.6667	0	1521.25	83.6594	0.810316	0.585993	0.585993	-0.810316
11.3333	82	15	5907.34	4565.36	0.909583	0.415522	0.415522	-0.909583
4	86	0	0.236	0.014	0.969489	-0.245134	-0.245134	-0.969489
2	82	0	0	0	1	0	0	1
2	92	0	0.236	0.014	0.969489	-0.245134	-0.245134	-0.969489
2	88	0	0.236	0.014	0.969489	-0.245134	-0.245134	-0.969489
5	94.3333	0	1599.79	282.288	0.0523642	0.998628	0.998628	-0.0523642
7.33333	86	0	3054.73	916.883	0.857631	-0.514266	-0.514266	-0.857631
12	86	1	4887.61	2186.36	0.666075	-0.745885	-0.745885	-0.666075
12.6667	83.3333	10	4597.88	2287.25	0.606812	-0.794845	-0.794845	-0.606812
13.6667	87.6667	11	4428.94	842.285	0.139323	-0.990247	-0.990247	-0.139323
10	90.6667	0	1910.52	344.816	0.639674	-0.768646	-0.768646	-0.639674
13.3333	93.6667	6	2796.52	1139.56	0.57918	-0.8152	-0.8152	-0.57918
13	90.3333	3	3699.78	723.908	0.305407	-0.952222	-0.952222	-0.305407
14	91.6667	2	4201.23	654.198	0.13178	-0.991279	-0.991279	-0.13178
9	93.3333	1	1810.34	874.778	0.149179	-0.98881	-0.98881	-0.149179
16	87	9	3578.86	1082.73	0.108721	0.994072	0.994072	-0.108721
9.33333	87.6667	3	4225.36	1198.29	0.742	-0.6704	-0.6704	-0.742
8.66667	83	0	5868.59	3340.91	0.934179	0.356804	0.356804	-0.934179
11.3333	95	1	2524.82	1409.3	0.657261	-0.753663	-0.753663	-0.657261
14.6667	74.3333	13	12605.1	424.122	0.362882	0.931835	0.931835	-0.362882
19.6667	72.3333	3	9107.47	1343.17	0.167572	0.98586	0.98586	-0.167572
20	69.3333	7	10773.5	1250.27	0.0929344	0.995672	0.995672	-0.0929344
18	78.3333	0	8965.58	846.783	0.367438	0.930048	0.930048	-0.367438
16.6667	75	15	12277.6	549.775	0.309773	0.950811	0.950811	-0.309773
20.6667	79	5	2895.63	842.477	0.269658	0.962956	0.962956	-0.269658
17.3333	85	8	2210.85	1083.16	0.739039	0.673663	0.673663	-0.739039
